Mutation,ProteinExpressed,UnmutatedMean,UnmutatedStdDev,MutatedMean,MutatedStdDev,n,p_post_bonferroni
NPM1,WNT7B,0.026392,0.134573,1.451388,1.538338,48,0.000000
NPM1,HOXB4,5.993638,8.210251,34.465323,14.327218,48,0.000000
NPM1,HOXB3,8.928565,13.749267,61.519796,26.514876,48,0.000000
NPM1,HOXB9,0.679125,4.631327,13.840587,35.786924,48,0.000000
NPM1,HOXA5,10.586476,15.550099,62.284431,27.368677,48,0.000000
NPM1,PBX3,16.874511,19.389479,64.930558,22.458944,48,0.000000
NPM1,HOXB6,1.518825,4.044694,13.092700,7.294324,48,0.000000
NPM1,HOXB2,5.622894,6.645652,25.025456,11.753137,48,0.000000
NPM1,HOXB5,1.920076,3.926337,14.273504,10.348570,48,0.000000
NPM1,HOXB8,1.315406,9.649648,7.490931,14.804833,48,0.000000
NPM1,HOXA6,6.855688,10.662327,35.783785,15.507870,48,0.000000
NPM1,HOXB7,0.687543,3.334526,5.212960,7.672395,48,0.000000
NPM1,HOXA3,3.787902,5.795696,17.261152,6.213623,48,0.000000
NPM1,HOXA4,3.166714,4.768728,14.899373,8.010503,48,0.000000
NPM1,HOXA7,6.852390,9.022993,28.616769,11.493261,48,0.000000
NPM1,LMX1B,0.047874,0.337468,0.763471,1.477411,48,0.000000
NPM1,NKX2-3,1.662313,4.282737,10.241831,6.438532,48,0.000000
NPM1,C1QL1,0.033684,0.064139,0.829902,1.211289,48,0.000000
NPM1,SDSL,4.360891,3.109843,11.404746,4.446341,48,0.000000
NPM1,HOXA10,9.071725,11.626488,28.851390,12.084457,48,0.000000
NPM1,HOXA11-AS,0.656556,3.645746,2.711565,3.860996,48,0.000000
NPM1,HOXA9,25.170484,31.183391,90.059635,45.438737,48,0.000000
MT-CYB,OR5B17,0.000000,0.000000,0.017340,0.023538,5,0.000000
NPM1,ONECUT3,0.004500,0.017733,0.469994,1.649184,48,0.000000
NPM1,TRH,62.026022,207.689843,1.069483,3.826165,48,0.000000
NPM1,C10orf140,0.985462,2.269438,4.571677,3.173608,48,0.000000
NPM1,LOC100271722,2.816365,3.461819,11.060640,6.354051,48,0.000000
NPM1,FAM105A,20.893435,17.635314,4.729675,7.556603,48,0.000000
NPM1,HOXA11,0.987950,4.751050,3.604894,5.711578,48,0.000000
NPM1,MEIS1,10.147124,12.020234,31.311702,12.948414,48,0.000000
NPM1,SPARC,54.695881,52.540782,9.259100,12.789166,48,0.000000
NPM1,GNG7,8.366361,4.980058,2.693004,2.112312,48,0.000000
NPM1,C2orf65,3.080846,2.342778,0.950144,0.976786,48,0.000000
NPM1,TMIGD2,10.843942,10.140704,1.279213,1.921005,48,0.000000
FLT3-ITD,FAM47E,0.273028,0.838076,2.587605,2.953552,37,0.000000
NPM1,HOXA2,0.983409,1.411190,3.841615,2.697155,48,0.000000
NPM1,NCR2,0.161175,0.902258,7.383979,21.503032,48,0.000000
NPM1+FLT3-ITD,FGF10,0.297397,1.339563,5.667258,6.540318,19,0.000000
NPM1,TSPAN7,12.692717,17.027491,0.415221,0.590955,48,0.000000
NPM1,PDGFD,1.662240,2.249587,5.549656,3.542217,48,0.000000
NPM1,BAALC,38.116367,55.229408,1.462742,1.911306,48,0.000000
