Got expression data for 200, mutations for 196, both for 196
Valid patients: 1408 mutations, expression data for 19990 proteins

Mutation prevalence
NPM1       54 patients, cumulative 54/196 (27.55%)
DNMT3A     51 patients, cumulative 77/196 (39.29%)
FLT3-ITD   39 patients, cumulative 95/196 (48.47%)
IDH2       20 patients, cumulative 106/196 (54.08%)
IDH1       19 patients, cumulative 109/196 (55.61%)
RUNX1      18 patients, cumulative 117/196 (59.69%)
FLT3       17 patients, cumulative 121/196 (61.73%)
TET2       17 patients, cumulative 128/196 (65.31%)
NRAS       15 patients, cumulative 133/196 (67.86%)
TP53       15 patients, cumulative 145/196 (73.98%)
CEBPA      13 patients, cumulative 149/196 (76.02%)
WT1        12 patients, cumulative 151/196 (77.04%)
PTPN11      9 patients, cumulative 153/196 (78.06%)
KIT         8 patients, cumulative 158/196 (80.61%)
KRAS        8 patients, cumulative 160/196 (81.63%)
U2AF1       8 patients, cumulative 162/196 (82.65%)
SMC1A       7 patients, cumulative 163/196 (83.16%)
SMC3        7 patients, cumulative 164/196 (83.67%)
TTN         7 patients, cumulative 165/196 (84.18%)
MT-CYB      6 patients, cumulative 165/196 (84.18%)
PHF6        6 patients, cumulative 166/196 (84.69%)
STAG2       6 patients, cumulative 166/196 (84.69%)
ASXL1       5 patients, cumulative 166/196 (84.69%)
FAM5C       5 patients, cumulative 167/196 (85.20%)
RAD21       5 patients, cumulative 168/196 (85.71%)
---cutoff--- (mutations below are not considered)
CSMD1       4 patients, cumulative 168/196 (85.71%)
MT-ND5      4 patients, cumulative 168/196 (85.71%)
PLCE1       4 patients, cumulative 169/196 (86.22%)
CACNA1B     3 patients, cumulative 169/196 (86.22%)
CACNA1E     3 patients, cumulative 170/196 (86.73%)
COL12A1     3 patients, cumulative 170/196 (86.73%)
CROCC       3 patients, cumulative 170/196 (86.73%)
DIS3        3 patients, cumulative 171/196 (87.24%)
DNAH9       3 patients, cumulative 171/196 (87.24%)
EZH2        3 patients, cumulative 171/196 (87.24%)
FCGBP       3 patients, cumulative 172/196 (87.76%)
GBP4        3 patients, cumulative 172/196 (87.76%)
GRIK2       3 patients, cumulative 173/196 (88.27%)
KDM6A       3 patients, cumulative 174/196 (88.78%)
MT-CO2      3 patients, cumulative 174/196 (88.78%)
MT-CO3      3 patients, cumulative 174/196 (88.78%)
MUC16       3 patients, cumulative 175/196 (89.29%)
PHACTR1     3 patients, cumulative 175/196 (89.29%)
PTPRT       3 patients, cumulative 175/196 (89.29%)
SMG1        3 patients, cumulative 175/196 (89.29%)
SPEN        3 patients, cumulative 175/196 (89.29%)
SUZ12       3 patients, cumulative 175/196 (89.29%)
ABTB1       2 patients, cumulative 175/196 (89.29%)
ADAM11      2 patients, cumulative 176/196 (89.80%)
APOB        2 patients, cumulative 176/196 (89.80%)
ARAP2       2 patients, cumulative 176/196 (89.80%)
ATP10B      2 patients, cumulative 176/196 (89.80%)
BCOR        2 patients, cumulative 176/196 (89.80%)
BMPER       2 patients, cumulative 176/196 (89.80%)
BSN         2 patients, cumulative 176/196 (89.80%)
C10orf28    2 patients, cumulative 176/196 (89.80%)
C17orf97    2 patients, cumulative 177/196 (90.31%)
CACNA2D3    2 patients, cumulative 177/196 (90.31%)
CADM2       2 patients, cumulative 178/196 (90.82%)
CADPS       2 patients, cumulative 178/196 (90.82%)
CALR        2 patients, cumulative 179/196 (91.33%)
CBFB        2 patients, cumulative 179/196 (91.33%)
CBL         2 patients, cumulative 179/196 (91.33%)
CD74        2 patients, cumulative 179/196 (91.33%)
CECR2       2 patients, cumulative 179/196 (91.33%)
CHD4        2 patients, cumulative 179/196 (91.33%)
CLEC18B     2 patients, cumulative 179/196 (91.33%)
CMYA5       2 patients, cumulative 179/196 (91.33%)
CNTN5       2 patients, cumulative 179/196 (91.33%)
CNTNAP4     2 patients, cumulative 179/196 (91.33%)
CRISPLD1    2 patients, cumulative 180/196 (91.84%)
CSMD3       2 patients, cumulative 180/196 (91.84%)
CUL1        2 patients, cumulative 180/196 (91.84%)
DCHS2       2 patients, cumulative 180/196 (91.84%)
DCLK1       2 patients, cumulative 180/196 (91.84%)
DDR2        2 patients, cumulative 181/196 (92.35%)
DDX41       2 patients, cumulative 182/196 (92.86%)
DLC1        2 patients, cumulative 182/196 (92.86%)
DOCK2       2 patients, cumulative 182/196 (92.86%)
DST         2 patients, cumulative 182/196 (92.86%)
E2F8        2 patients, cumulative 182/196 (92.86%)
EED         2 patients, cumulative 182/196 (92.86%)
EGFR        2 patients, cumulative 182/196 (92.86%)
EPPK1       2 patients, cumulative 182/196 (92.86%)
ETV6        2 patients, cumulative 182/196 (92.86%)
FAM154B     2 patients, cumulative 182/196 (92.86%)
FAM40B      2 patients, cumulative 182/196 (92.86%)
FAM57B      2 patients, cumulative 182/196 (92.86%)
FAM65A      2 patients, cumulative 183/196 (93.37%)
FLG         2 patients, cumulative 183/196 (93.37%)
FRYL        2 patients, cumulative 183/196 (93.37%)
GALNTL4     2 patients, cumulative 183/196 (93.37%)
GATA2       2 patients, cumulative 183/196 (93.37%)
GIGYF2      2 patients, cumulative 183/196 (93.37%)
GJB3        2 patients, cumulative 183/196 (93.37%)
GPR112      2 patients, cumulative 183/196 (93.37%)
GRID1       2 patients, cumulative 183/196 (93.37%)
GRIK4       2 patients, cumulative 183/196 (93.37%)
GRM3        2 patients, cumulative 183/196 (93.37%)
GRM8        2 patients, cumulative 183/196 (93.37%)
GSTK1       2 patients, cumulative 183/196 (93.37%)
HECW1       2 patients, cumulative 183/196 (93.37%)
HNRNPK      2 patients, cumulative 183/196 (93.37%)
ILDR1       2 patients, cumulative 183/196 (93.37%)
KCNA4       2 patients, cumulative 184/196 (93.88%)
KCNK13      2 patients, cumulative 184/196 (93.88%)
KCNU1       2 patients, cumulative 184/196 (93.88%)
KDM3B       2 patients, cumulative 184/196 (93.88%)
